#                                           
#                       ______ _____        
#                       |  _  \  __ \       
#        _ __ ___   __ _| | | | |  \/       
#       | '_ ` _ \ / _` | | | | | __        
#       | | | | | | (_| | |/ /| |_\ \       
#       |_| |_| |_|\__,_|___/  \____/       
#                                           
#     Hostname           borges
#     Username           adegennaro
#     Work directory     /home/adegennaro/Projects/appmath/maDGiCart-CH/scripts/output/run_1
#     Processor model    AMD Ryzen 7 3700X 8-Core Processor
#     GPU model          NVIDIA GeForce GTX 1070 Ti
#     GPUs per node      1
#     OpenMP max threads Not compiled with OpenMP support
#     System time        2022-Jan-18 17:41:25
#     git branch         refs/heads/master
#     git commit hash    ceb47bf85522ced8af0812d2bceeb5f687f407e4
#     C++ compiler       /usr/bin/c++ GNU 9.3.0
#                        
# #[2022-01-18 17:41:25.966250]
# [Info] 
# [Info] # ****** File Options ****** #
# [Info] 
# [Info]                    config_file = 
# [Info]           solution_output_file = 
# [Info]                       log_file = maDGiCart
# [Info]                  log_frequency = 20
# [Info] 
# [Info] # ****** Physics Options ****** #
# [Info] 
# [Info]                  equation_type = cahn-hilliard
# [Info]                              m = -0.108345
# [Info]                           eps2 = 3.10197e-05
# [Info]                          sigma = 378.057
# [Info] 
# [Info] # ****** Discretization Options ****** #
# [Info] 
# [Info]                 domain_x_begin = 0
# [Info]                   domain_x_end = 1
# [Info]              domain_resolution = 128
# [Info]                      dimension = 2
# [Info] 
# [Info] # ****** Time Stepping Options ****** #
# [Info] 
# [Info]                time_integrator = rk3ssp
# [Info]                 time_step_size = 1e-06
# [Info]                   initial_time = 0
# [Info]                     final_time = 1
# [Info]                 max_time_steps = 10000
# [Info]              use_cfl_time_step = false
# [Info]                            cfl = 1
# [Info]         use_adaptive_time_step = false
# [Info]             min_time_step_size = 2.22045e-16
# [Info]             max_time_step_size = 1.79769e+308
# [Info]               time_abs_err_tol = 0.0001
# [Info]               time_rel_err_tol = 0.0001
# [Info]              converged_rel_tol = 0
# [Info]              converged_abs_tol = 0
# [Info] 
# [Info]  #[2022-01-18 17:41:25.966520]
# [Trace] Timing: Starting solver... #[2022-01-18 17:41:26.030289]
# [Info] RNG initial conditions have mean -0.108341, renormalizing. #[2022-01-18 17:41:26.030554]
# [Warning] bad size: 17424 != 16384 #[2022-01-18 17:41:26.030578]
#
# Logger outputs:  #[2022-01-18 17:41:26.042517]
iter time dt res_c rel_res min_c max_c grad_c_mag  #[2022-01-18 17:41:26.042556]
#                                                                                                        
#       iter         time           dt        res_c      rel_res        min_c        max_c   grad_c_mag  
#                                                                                                         #[2022-01-18 17:41:26.042585]
   1.00000e+00  1.00000e-06  1.00000e-06  3.75467e+02  1.00000e+00 -1.13557e-01 2.22507e-308  3.11194e-01 #[2022-01-18 17:41:26.042787]
   2.10000e+01  2.10000e-05  1.00000e-06  3.18961e+01  8.49505e-02 -1.13974e-01 2.22507e-308  1.80404e-01 #[2022-01-18 17:41:26.049330]
   4.10000e+01  4.10000e-05  1.00000e-06  1.42280e+01  3.78941e-02 -1.14111e-01 2.22507e-308  1.71732e-01 #[2022-01-18 17:41:26.057057]
   6.10000e+01  6.10000e-05  1.00000e-06  1.10497e+01  2.94292e-02 -1.14387e-01 2.22507e-308  1.78047e-01 #[2022-01-18 17:41:26.063174]
   8.10000e+01  8.10000e-05  1.00000e-06  1.09895e+01  2.92688e-02 -1.14830e-01 2.22507e-308  1.90831e-01 #[2022-01-18 17:41:26.071065]
   1.01000e+02  1.01000e-04  1.00000e-06  1.18949e+01  3.16802e-02 -1.15442e-01 2.22507e-308  2.08126e-01 #[2022-01-18 17:41:26.077504]
   1.21000e+02  1.21000e-04  1.00000e-06  1.32548e+01  3.53022e-02 -1.16120e-01 2.22507e-308  2.29428e-01 #[2022-01-18 17:41:26.085627]
   1.41000e+02  1.41000e-04  1.00000e-06  1.49375e+01  3.97838e-02 -1.17075e-01 2.22507e-308  2.54744e-01 #[2022-01-18 17:41:26.092066]
   1.61000e+02  1.61000e-04  1.00000e-06  1.69184e+01  4.50595e-02 -1.18198e-01 2.22507e-308  2.84311e-01 #[2022-01-18 17:41:26.099085]
   1.81000e+02  1.81000e-04  1.00000e-06  1.92112e+01  5.11663e-02 -1.19485e-01 2.22507e-308  3.18545e-01 #[2022-01-18 17:41:26.106467]
   2.01000e+02  2.01000e-04  1.00000e-06  2.18479e+01  5.81886e-02 -1.20954e-01 2.22507e-308  3.57997e-01 #[2022-01-18 17:41:26.114416]
   2.21000e+02  2.21000e-04  1.00000e-06  2.48715e+01  6.62416e-02 -1.22626e-01 2.22507e-308  4.03318e-01 #[2022-01-18 17:41:26.122032]
   2.41000e+02  2.41000e-04  1.00000e-06  2.83348e+01  7.54656e-02 -1.24526e-01 2.22507e-308  4.55279e-01 #[2022-01-18 17:41:26.128451]
