   4.41000e+02  4.41000e-04  1.00000e-06  1.43963e+01  5.18017e-02  3.51374e-01  3.82406e-01  4.07442e-01 #[2022-01-18 17:41:33.187571]
   4.61000e+02  4.61000e-04  1.00000e-06  1.54618e+01  5.56357e-02  3.50179e-01  3.83342e-01  4.35488e-01 #[2022-01-18 17:41:33.193475]
   4.81000e+02  4.81000e-04  1.00000e-06  1.66093e+01  5.97646e-02  3.48892e-01  3.84339e-01  4.65679e-01 #[2022-01-18 17:41:33.200620]
   5.01000e+02  5.01000e-04  1.00000e-06  1.78451e+01  6.42116e-02  3.47505e-01  3.85401e-01  4.98177e-01 #[2022-01-18 17:41:33.206527]
   5.21000e+02  5.21000e-04  1.00000e-06  1.91763e+01  6.90014e-02  3.46008e-01  3.86592e-01  5.33157e-01 #[2022-01-18 17:41:33.212444]
   5.41000e+02  5.41000e-04  1.00000e-06  2.06103e+01  7.41615e-02  3.44393e-01  3.87924e-01  5.70806e-01 #[2022-01-18 17:41:33.219545]
   5.61000e+02  5.61000e-04  1.00000e-06  2.21554e+01  7.97212e-02  3.42648e-01  3.89348e-01  6.11325e-01 #[2022-01-18 17:41:33.225456]
   5.81000e+02  5.81000e-04  1.00000e-06  2.38205e+01  8.57127e-02  3.40761e-01  3.90871e-01  6.54931e-01 #[2022-01-18 17:41:33.232273]
   6.01000e+02  6.01000e-04  1.00000e-06  2.56154e+01  9.21711e-02  3.38721e-01  3.92500e-01  7.01858e-01 #[2022-01-18 17:41:33.238557]
   6.21000e+02  6.21000e-04  1.00000e-06  2.75506e+01  9.91344e-02  3.36512e-01  3.94239e-01  7.52363e-01 #[2022-01-18 17:41:33.244470]
   6.41000e+02  6.41000e-04  1.00000e-06  2.96377e+01  1.06644e-01  3.34118e-01  3.96097e-01  8.06724e-01 #[2022-01-18 17:41:33.251664]
   6.61000e+02  6.61000e-04  1.00000e-06  3.18895e+01  1.14747e-01  3.31522e-01  3.98079e-01  8.65239e-01 #[2022-01-18 17:41:33.257565]
   6.81000e+02  6.81000e-04  1.00000e-06  3.43198e+01  1.23492e-01  3.28702e-01  4.00194e-01  9.28231e-01 #[2022-01-18 17:41:33.264258]
   7.01000e+02  7.01000e-04  1.00000e-06  3.69439e+01  1.32934e-01  3.25638e-01  4.02448e-01  9.96045e-01 #[2022-01-18 17:41:33.270656]
   7.21000e+02  7.21000e-04  1.00000e-06  3.97788e+01  1.43135e-01  3.22303e-01  4.04885e-01  1.06906e+00 #[2022-01-18 17:41:33.276556]
   7.41000e+02  7.41000e-04  1.00000e-06  4.28432e+01  1.54161e-01  3.18669e-01  4.07499e-01  1.14768e+00 #[2022-01-18 17:41:33.283715]
   7.61000e+02  7.61000e-04  1.00000e-06  4.61577e+01  1.66088e-01  3.14704e-01  4.10275e-01  1.23236e+00 #[2022-01-18 17:41:33.289623]
   7.81000e+02  7.81000e-04  1.00000e-06  4.97454e+01  1.78997e-01  3.10372e-01  4.13223e-01  1.32358e+00 #[2022-01-18 17:41:33.295535]
   8.01000e+02  8.01000e-04  1.00000e-06  5.36324e+01  1.92984e-01  3.05629e-01  4.16350e-01  1.42186e+00 #[2022-01-18 17:41:33.302698]
   8.21000e+02  8.21000e-04  1.00000e-06  5.78477e+01  2.08151e-01  3.00429e-01  4.19664e-01  1.52778e+00 #[2022-01-18 17:41:33.308603]
   8.41000e+02  8.41000e-04  1.00000e-06  6.24241e+01  2.24619e-01  2.94716e-01  4.23173e-01  1.64196e+00 #[2022-01-18 17:41:33.315358]
   8.61000e+02  8.61000e-04  1.00000e-06  6.73993e+01  2.42521e-01  2.88427e-01  4.26884e-01  1.76507e+00 #[2022-01-18 17:41:33.321688]
   8.81000e+02  8.81000e-04  1.00000e-06  7.28159e+01  2.62011e-01  2.81487e-01  4.30805e-01  1.89788e+00 #[2022-01-18 17:41:33.327672]
   9.01000e+02  9.01000e-04  1.00000e-06  7.87235e+01  2.83268e-01  2.73810e-01  4.34945e-01  2.04119e+00 #[2022-01-18 17:41:33.335128]
   9.21000e+02  9.21000e-04  1.00000e-06  8.51793e+01  3.06498e-01  2.65294e-01  4.39311e-01  2.19591e+00 #[2022-01-18 17:41:33.341035]
   9.41000e+02  9.41000e-04  1.00000e-06  9.22502e+01  3.31941e-01  2.55767e-01  4.43910e-01  2.36302e+00 #[2022-01-18 17:41:33.347792]
   9.61000e+02  9.61000e-04  1.00000e-06  1.00015e+02  3.59881e-01  2.44649e-01  4.48750e-01  2.54364e+00 #[2022-01-18 17:41:33.354250]
   9.81000e+02  9.81000e-04  1.00000e-06  1.08567e+02  3.90655e-01  2.32155e-01  4.53839e-01  2.73898e+00 #[2022-01-18 17:41:33.360272]
#                                                                                                        
#       iter         time           dt        res_c      rel_res        min_c        max_c   grad_c_mag  
#                                                                                                         #[2022-01-18 17:41:33.367488]
   1.00100e+03  1.00100e-03  1.00000e-06  1.18020e+02  4.24666e-01  2.18057e-01  4.59183e-01  2.95042e+00 #[2022-01-18 17:41:33.367651]
   1.02100e+03  1.02100e-03  1.00000e-06  1.28507e+02  4.62401e-01  2.02082e-01  4.64792e-01  3.17947e+00 #[2022-01-18 17:41:33.373563]
   1.04100e+03  1.04100e-03  1.00000e-06  1.40193e+02  5.04453e-01  1.83896e-01  4.70672e-01  3.42788e+00 #[2022-01-18 17:41:33.379903]
   1.06100e+03  1.06100e-03  1.00000e-06  1.53281e+02  5.51546e-01  1.63093e-01  4.76832e-01  3.69761e+00 #[2022-01-18 17:41:33.387032]
   1.08100e+03  1.08100e-03  1.00000e-06  1.68019e+02  6.04578e-01  1.39183e-01  4.83281e-01  3.99087e+00 #[2022-01-18 17:41:33.392958]
   1.10100e+03  1.10100e-03  1.00000e-06  1.84716e+02  6.64657e-01  1.11573e-01  4.90029e-01  4.31025e+00 #[2022-01-18 17:41:33.399378]
   1.12100e+03  1.12100e-03  1.00000e-06  2.03753e+02  7.33159e-01  7.95631e-02  4.97087e-01  4.65868e+00 #[2022-01-18 17:41:33.405297]
   1.14100e+03  1.14100e-03  1.00000e-06  2.25603e+02  8.11781e-01  4.23563e-02  5.04470e-01  5.03963e+00 #[2022-01-18 17:41:33.411208]
   1.16100e+03  1.16100e-03  1.00000e-06  2.50840e+02  9.02590e-01 -8.94095e-04  5.12195e-01  5.45711e+00 #[2022-01-18 17:41:33.418360]
   1.18100e+03  1.18100e-03  1.00000e-06  2.80144e+02  1.00000e+00 -5.09637e-02  5.20283e-01  5.91586e+00 #[2022-01-18 17:41:33.423785]
   1.20100e+03  1.20100e-03  1.00000e-06  3.14283e+02  1.00000e+00 -1.08326e-01  5.30012e-01  6.42148e+00 #[2022-01-18 17:41:33.429204]
   1.22100e+03  1.22100e-03  1.00000e-06  3.54054e+02  1.00000e+00 -1.72800e-01  5.41032e-01  6.98052e+00 #[2022-01-18 17:41:33.436341]
   1.24100e+03  1.24100e-03  1.00000e-06  4.00181e+02  1.00000e+00 -2.43167e-01  5.52916e-01  7.60067e+00 #[2022-01-18 17:41:33.442261]
   1.26100e+03  1.26100e-03  1.00000e-06  4.53177e+02  1.00000e+00 -3.17020e-01  5.65786e-01  8.29080e+00 #[2022-01-18 17:41:33.449410]
   1.28100e+03  1.28100e-03  1.00000e-06  5.13192e+02  1.00000e+00 -3.91141e-01  5.79774e-01  9.06095e+00 #[2022-01-18 17:41:33.455817]
   1.30100e+03  1.30100e-03  1.00000e-06  5.79891e+02  1.00000e+00 -4.62358e-01  5.95007e-01  9.92207e+00 #[2022-01-18 17:41:33.461850]
   1.32100e+03  1.32100e-03  1.00000e-06  6.52366e+02  1.00000e+00 -5.28379e-01  6.11567e-01  1.08857e+01 #[2022-01-18 17:41:33.469303]
   1.34100e+03  1.34100e-03  1.00000e-06  7.29135e+02  1.00000e+00 -5.88105e-01  6.29444e-01  1.19628e+01 #[2022-01-18 17:41:33.475256]
   1.36100e+03  1.36100e-03  1.00000e-06  8.08258e+02  1.00000e+00 -6.41428e-01  6.50101e-01  1.31633e+01 #[2022-01-18 17:41:33.482482]
   1.38100e+03  1.38100e-03  1.00000e-06  8.87555e+02  1.00000e+00 -6.88810e-01  6.71259e-01  1.44949e+01 #[2022-01-18 17:41:33.489210]
   1.40100e+03  1.40100e-03  1.00000e-06  9.64918e+02  1.00000e+00 -7.30891e-01  6.91769e-01  1.59611e+01 #[2022-01-18 17:41:33.495555]
   1.42100e+03  1.42100e-03  1.00000e-06  1.03859e+03  1.00000e+00 -7.68205e-01  7.11015e-01  1.75616e+01 #[2022-01-18 17:41:33.502794]
   1.44100e+03  1.44100e-03  1.00000e-06  1.10710e+03  1.00000e+00 -8.01041e-01  7.28683e-01  1.92907e+01 #[2022-01-18 17:41:33.508730]
   1.46100e+03  1.46100e-03  1.00000e-06  1.16885e+03  1.00000e+00 -8.29485e-01  7.46071e-01  2.11377e+01 #[2022-01-18 17:41:33.515787]
   1.48100e+03  1.48100e-03  1.00000e-06  1.22189e+03  1.00000e+00 -8.53566e-01  7.62646e-01  2.30864e+01 #[2022-01-18 17:41:33.522122]
   1.50100e+03  1.50100e-03  1.00000e-06  1.26429e+03  1.00000e+00 -8.73436e-01  7.77493e-01  2.51160e+01 #[2022-01-18 17:41:33.528099]
   1.52100e+03  1.52100e-03  1.00000e-06  1.29483e+03  1.00000e+00 -8.89453e-01  7.90504e-01  2.72017e+01 #[2022-01-18 17:41:33.535700]
   1.54100e+03  1.54100e-03  1.00000e-06  1.31311e+03  1.00000e+00 -9.02150e-01  8.01663e-01  2.93155e+01 #[2022-01-18 17:41:33.542131]
   1.56100e+03  1.56100e-03  1.00000e-06  1.31916e+03  1.00000e+00 -9.13451e-01  8.11030e-01  3.14279e+01 #[2022-01-18 17:41:33.549557]
   1.58100e+03  1.58100e-03  1.00000e-06  1.31285e+03  9.95218e-01 -9.23791e-01  8.21386e-01  3.35099e+01 #[2022-01-18 17:41:33.555710]
   1.60100e+03  1.60100e-03  1.00000e-06  1.29399e+03  9.80923e-01 -9.32008e-01  8.31393e-01  3.55350e+01 #[2022-01-18 17:41:33.561794]
   1.62100e+03  1.62100e-03  1.00000e-06  1.26261e+03  9.57134e-01 -9.38571e-01  8.41566e-01  3.74795e+01 #[2022-01-18 17:41:33.569338]
   1.64100e+03  1.64100e-03  1.00000e-06  1.21917e+03  9.24200e-01 -9.43867e-01  8.51623e-01  3.93219e+01 #[2022-01-18 17:41:33.575321]
